a,6.025%
b,2%
c,0.565%
d,5.858%
e,15.453%
f,2.406%
g,4.077%
h,1.621%
i,6%
j,0.73%
k,3.395%
l,5.229%
m,3.237%
n,7.24%
o,4.636%
p,1.756%
q,0.007%
r,8.956%
s,5.805%
t,6.862%
u,1.979%
v,2.332%
w,0.069%
x,0.028%
y,0.698%
z,0.034%
å,1.19%
æ,0.872%
ø,0.939%
